customer_id,name,age,gender,income,account_balance,account_type,risk_score,location_lat,location_lng,churn_flag
CUST001,Maria Santos,28,F,45000,12500.50,Savings,0.15,14.5995,120.9842,0
CUST002,Juan Dela Cruz,35,M,65000,25000.75,Checking,0.25,14.6091,121.0223,0
CUST003,Ana Rodriguez,42,F,85000,45000.25,Premium,0.10,14.5547,121.0244,1
CUST004,Carlos Mendoza,29,M,38000,8500.00,Savings,0.45,14.6760,121.0437,0
CUST005,Lisa Garcia,51,F,95000,75000.50,Premium,0.05,14.5764,120.9772,0
CUST006,Roberto Silva,33,M,52000,18000.25,Checking,0.30,14.6378,121.0014,1
CUST007,Carmen Lopez,26,F,42000,9800.75,Savings,0.35,14.5889,121.0583,0
CUST008,Miguel Torres,47,M,78000,55000.00,Premium,0.12,14.6505,120.9889,0
CUST009,Sofia Reyes,31,F,48000,15500.25,Checking,0.28,14.5678,121.0156,0
CUST010,Diego Morales,39,M,72000,32000.50,Premium,0.18,14.6234,121.0367,1
CUST011,Elena Vargas,44,F,58000,22000.75,Checking,0.22,14.5812,120.9945,0
CUST012,Fernando Cruz,36,M,61000,28000.00,Savings,0.20,14.6089,121.0278,0
CUST013,Patricia Jimenez,29,F,43000,11500.50,Savings,0.38,14.5734,121.0445,0
CUST014,Ricardo Herrera,53,M,89000,68000.25,Premium,0.08,14.6456,120.9823,0
CUST015,Gabriela Ruiz,27,F,41000,9200.75,Savings,0.42,14.5923,121.0512,1
CUST016,Antonio Flores,41,M,67000,35000.00,Checking,0.16,14.6167,121.0089,0
CUST017,Valentina Castro,34,F,54000,19500.25,Checking,0.26,14.5845,121.0234,0
CUST018,Alejandro Ramos,48,M,76000,48000.50,Premium,0.11,14.6378,120.9967,0
CUST019,Camila Ortega,32,F,49000,16800.75,Savings,0.32,14.5689,121.0389,0
CUST020,Javier Moreno,37,M,63000,29500.00,Checking,0.19,14.6123,121.0156,1
CUST021,Isabella Gutierrez,25,F,39000,7500.25,Savings,0.48,14.5756,121.0467,0
CUST022,Sebastian Aguilar,45,M,71000,42000.50,Premium,0.14,14.6289,120.9834,0
CUST023,Natalia Mendez,30,F,46000,13200.75,Checking,0.29,14.5867,121.0278,0
CUST024,Mateo Romero,52,M,82000,58000.00,Premium,0.09,14.6445,121.0045,0
CUST025,Lucia Peña,28,F,44000,10800.25,Savings,0.36,14.5712,121.0389,1
CUST026,Andres Vega,40,M,69000,38000.50,Checking,0.17,14.6201,120.9912,0
CUST027,Mariana Soto,33,F,51000,17200.75,Checking,0.27,14.5823,121.0234,0
CUST028,Nicolas Guerrero,46,M,74000,45500.00,Premium,0.13,14.6356,121.0067,0
CUST029,Daniela Campos,31,F,47000,14600.25,Savings,0.31,14.5678,121.0345,0
CUST030,Emilio Navarro,38,M,64000,31000.50,Checking,0.21,14.6145,121.0189,1
CUST031,Beatriz Morales,33,F,56000,21500.75,Checking,0.24,14.5934,121.0312,0
